id,neighbourhood,price,stay_type,avgprice
Dumont NYC-an Affinia hotel,Gramercy,324.49,0,168.1011574074074
Park Central New York,Midtown,190.5,0,245.98121224627874
Blakely New York,Midtown,205.96,0,245.98121224627874
Pod 39,Murray Hill,175.02895,0,197.11757901785717
Sheraton Tribeca New York Hotel,Tribeca,284.68,0,274.64551810344824
Chelsea Savoy Hotel,Chelsea,175.91,0,188.13311841004185
"Distrikt Hotel New York City, an Ascend Collection Hotel",Clinton,174.34,0,165.18030573843416
Element New York Times Square West,Clinton,386.685,0,165.18030573843416
Hyatt Union Square New York,Greenwich Village,566.1329,0,198.69137352941175
Hyatt Centric Times Square New York,Midtown,548.34005,0,245.98121224627874
"Hudson New York, Central Park",Columbus Circle,300.065,0,258.56
Excelsior Hotel,Upper West Side,388.85315,0,164.86134589041097
WestHouse New York,Midtown,440.36,0,245.98121224627874
DoubleTree Suites by Hilton New York City - Times Square,Midtown,349.15,0,245.98121224627874
The Westin New York at Times Square,Midtown,306.95,0,245.98121224627874
Paramount Times Square,Midtown,301.065,0,245.98121224627874
New York Hilton Midtown,Midtown,551.1,0,245.98121224627874
DoubleTree by Hilton New York City - Financial District,Financial District,389.1019,0,208.96072712328765
The Franklin Hotel,Upper East Side,272.055,0,165.82365635198136
Refinery Hotel,Garment District,359.37,0,318.4047013157895
DoubleTree by Hilton Hotel New York - Times Square South,Clinton,370.93,0,165.18030573843416
DoubleTree by Hilton New York City - Chelsea,Flatiron District,230.83,0,294.6176373134328
W New York - Times Square,Midtown,499.105,0,245.98121224627874
The Redbury New York,Flatiron District,354.34,0,294.6176373134328
The Westin New York Grand Central,Tudor City,589.1513,0,418.27020000000005
"The Roosevelt Hotel, New York City",Midtown,294.14,0,245.98121224627874
Hotel St. James,Midtown,309.73,0,245.98121224627874
Flatiron Hotel,Flatiron District,249.45999999999998,0,294.6176373134328
The Gallivant Times Square,Midtown,274.13,0,245.98121224627874
Ace Hotel New York,Flatiron District,613.3107,0,294.6176373134328
The Pearl New York,Midtown,438.65110000000004,0,245.98121224627874
YOTEL New York at Times Square,Clinton,344.0,0,165.18030573843416
Four Points by Sheraton Midtown-Times Square,Clinton,373.625,0,165.18030573843416
Shelburne NYC-an Affinia hotel,Murray Hill,259.06,0,197.11757901785717
Viceroy Central Park New York,Midtown,494.175,0,245.98121224627874
Staybridge Suites Times Square,Clinton,305.68,0,165.18030573843416
Empire Hotel,Upper West Side,230.14,0,164.86134589041097
The Iroquois New York,Midtown,524.04015,0,245.98121224627874
The Lucerne Hotel,Upper West Side,299.26,0,164.86134589041097
Hyatt Place New York Midtown South,Garment District,319.66,0,318.4047013157895
The Mansfield Hotel,Midtown,324.5,0,245.98121224627874
New York Marriott Marquis,Midtown,475.40999999999997,0,245.98121224627874
NYLO New York City,Upper West Side,133.94375,0,164.86134589041097
Residence Inn New York Manhattan/Central Park,Midtown,391.51,0,245.98121224627874
Hampton Inn Manhattan Soho,SoHo,276.59000000000003,0,197.69398796296298
Kimpton Hotel Eventi,Flatiron District,599.17,0,294.6176373134328
Travel Inn Hotel,Clinton,160.9,0,165.18030573843416
Andaz Wall Street - a concept by Hyatt,Financial District,267.14015,0,208.96072712328765
The Premier New York Times Square,Midtown,272.21500000000003,0,245.98121224627874
The Nolitan,Little Italy,207.99,0,170.56605126582278
The Kimberly Hotel & Suites,Turtle Bay,919.2696500000001,0,364.79716666666667
Park Lane Hotel,Midtown,241.585,0,245.98121224627874
NoMo SoHo,SoHo,660.1850000000001,0,197.69398796296298
InterContinental - New York Times Square,Clinton,579.16,0,165.18030573843416
"The Renwick Hotel New York City, Curio Collection by Hilton",Murray Hill,304.47,0,197.11757901785717
Hampton Inn Times Square North,Midtown,298.95000000000005,0,245.98121224627874
Four Points by Sheraton Manhattan SoHo Village,SoHo,385.725,0,197.69398796296298
Courtyard New York Manhattan/Times Square West,Clinton,329.05,0,165.18030573843416
The Tuscany - A St Giles Signature Hotel,Murray Hill,324.07,0,197.11757901785717
World Center Hotel,Financial District,314.21000000000004,0,208.96072712328765
Wyndham New Yorker,Garment District,229.05,0,318.4047013157895
The Kitano New York,Murray Hill,404.02095,0,197.11757901785717
Omni Berkshire Place,Midtown,1000.105,0,245.98121224627874
Row NYC,Midtown,229.03050000000002,0,245.98121224627874
The Manhattan at Times Square Hotel,Midtown,220.14,0,245.98121224627874
Residence Inn by Marriott New York Manhattan/Times Square,Garment District,461.205,0,318.4047013157895
Wellington Hotel,Midtown,295.0152,0,245.98121224627874
Hotel Sofitel New York,Midtown,629.69005,0,245.98121224627874
Hilton Garden Inn Tribeca,Tribeca,290.34,0,274.64551810344824
Hilton New York Fashion District,Chelsea,159.79,0,188.13311841004185
The Marmara Manhattan,Upper East Side,344.5372,0,165.82365635198136
Ameritania at Times Square,Midtown,354.05190000000005,0,245.98121224627874
Stewart Hotel,Garment District,291.5,0,318.4047013157895
Crowne Plaza Times Square Manhattan,Midtown,351.14,0,245.98121224627874
The Gotham Hotel,Midtown,450.0,0,245.98121224627874
TRYP By Wyndham Times Square South,Clinton,334.105,0,165.18030573843416
Novotel New York - Times Square,Midtown,188.9248,0,245.98121224627874
Amsterdam Court Hotel,Midtown,299.5,0,245.98121224627874
La Quinta Inn & Suites New York City Central Park,Upper West Side,184.22,0,164.86134589041097
"Marriott Vacation Club Pulse, New York City",Garment District,314.54,0,318.4047013157895
Andaz 5th Avenue - a concept by Hyatt,Murray Hill,595.03,0,197.11757901785717
Night Hotel Times Square,Midtown,309.0,0,245.98121224627874
Hilton Garden Inn New York/Manhattan-Chelsea,Flatiron District,183.90255,0,294.6176373134328
Best Western Premier Herald Square,Garment District,332.66395,0,318.4047013157895
Holiday Inn Express - New York City Chelsea,Flatiron District,195.39,0,294.6176373134328
