,id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
0,2539,Clean & quiet apt home by the park,2787,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,0.21,365
1,2595,Skylit Midtown Castle,2845,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,0.38,355
2,3831,Cozy Entire Floor of Brownstone,4869,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,4.64,194
3,5099,Large Cozy 1 BR Apartment In Midtown East,7322,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,0.59,129
4,5178,Large Furnished Room Near B'way ,8967,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,3.47,220
5,5238,Cute & Cozy Lower East Side 1 bdrm,7549,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,1.33,188
6,5295,Beautiful 1br on Upper West Side,7702,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,6
7,5441,Central Manhattan/near Broadway,7989,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1.5,39
8,5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,1.34,314
9,6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,0.91,333
10,6848,Only 2 stops to Manhattan studio,15991,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,46
11,7097,Perfect for Your Parents + Garden,17571,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1.72,321
12,7322,Chelsea Perfect,18946,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2.12,12
13,7726,Hip Historic Brownstone Apartment with Backyard,20950,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,4.44,21
14,8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,1.09,347
15,8025,CBG Helps Haiti Room#2.5,22486,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,0.37,364
16,8110,CBG Helps Haiti Rm #2,22486,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,0.61,304
17,8490,"MAISON DES SIRENES1,bohemian apartment",25183,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,0.73,233
18,8505,Sunny Bedroom Across Prospect Park,25326,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,1.37,85
19,9357,Midtown Pied-a-terre,30193,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,0.49,75
20,9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,1.11,311
21,9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,0.24,67
22,9668,front room/double bed,32294,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2.04,355
23,9704,Spacious 1 bedroom in luxe building,32045,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1.42,255
24,9782,Loft in Williamsburg Area w/ Roof,32169,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,1.65,284
