,id,neighbourhood,price,stay_type
0,Dumont NYC-an Affinia hotel,Gramercy,324.49,0
1,Park Central New York,Midtown,190.5,0
2,Blakely New York,Midtown,205.96,0
3,Pod 39,Murray Hill,175.02895,0
4,Sheraton Tribeca New York Hotel,Tribeca,284.68,0
5,Chelsea Savoy Hotel,Chelsea,175.91,0
6,"Distrikt Hotel New York City, an Ascend Collection Hotel",Clinton,174.34,0
7,Element New York Times Square West,Clinton,386.685,0
8,Hyatt Union Square New York,Greenwich Village,566.1329,0
9,Hyatt Centric Times Square New York,Midtown,548.34005,0
10,"Hudson New York, Central Park",,300.065,0
11,Excelsior Hotel,Upper West Side,388.85315,0
12,WestHouse New York,Midtown,440.36,0
13,DoubleTree Suites by Hilton New York City - Times Square,Midtown,349.15,0
14,The Westin New York at Times Square,Midtown,306.95,0
15,Paramount Times Square,Midtown,301.065,0
16,New York Hilton Midtown,Midtown,551.1,0
17,DoubleTree by Hilton New York City - Financial District,Financial District,389.1019,0
18,The Franklin Hotel,Upper East Side,272.055,0
19,Refinery Hotel,,359.37,0
20,DoubleTree by Hilton Hotel New York - Times Square South,Clinton,370.93,0
21,DoubleTree by Hilton New York City - Chelsea,Flatiron District,230.83,0
22,W New York - Times Square,Midtown,499.105,0
23,The Redbury New York,Flatiron District,354.34,0
24,The Westin New York Grand Central,,589.1513,0
25,"The Roosevelt Hotel, New York City",Midtown,294.14,0
26,Hotel St. James,Midtown,309.73,0
27,Flatiron Hotel,Flatiron District,249.45999999999998,0
28,The Gallivant Times Square,Midtown,274.13,0
29,Ace Hotel New York,Flatiron District,613.3107,0
30,The Pearl New York,Midtown,438.65110000000004,0
31,YOTEL New York at Times Square,Clinton,344.0,0
32,Four Points by Sheraton Midtown-Times Square,Clinton,373.625,0
33,Shelburne NYC-an Affinia hotel,Murray Hill,259.06,0
34,Viceroy Central Park New York,Midtown,494.175,0
35,Staybridge Suites Times Square,Clinton,305.68,0
36,Empire Hotel,Upper West Side,230.14,0
37,The Iroquois New York,Midtown,524.04015,0
38,The Lucerne Hotel,Upper West Side,299.26,0
39,Hyatt Place New York Midtown South,,319.66,0
40,The Mansfield Hotel,Midtown,324.5,0
41,New York Marriott Marquis,Midtown,475.40999999999997,0
42,NYLO New York City,Upper West Side,133.94375,0
43,Residence Inn New York Manhattan/Central Park,Midtown,391.51,0
44,Hampton Inn Manhattan Soho,SoHo,276.59000000000003,0
45,Kimpton Hotel Eventi,Flatiron District,599.17,0
46,Travel Inn Hotel,Clinton,160.9,0
47,Andaz Wall Street - a concept by Hyatt,Financial District,267.14015,0
48,The Premier New York Times Square,Midtown,272.21500000000003,0
49,The Nolitan,Little Italy,207.99,0
50,The Kimberly Hotel & Suites,,919.2696500000001,0
51,Park Lane Hotel,Midtown,241.585,0
52,NoMo SoHo,SoHo,660.1850000000001,0
53,InterContinental - New York Times Square,Clinton,579.16,0
54,"The Renwick Hotel New York City, Curio Collection by Hilton",Murray Hill,304.47,0
55,Hampton Inn Times Square North,Midtown,298.95000000000005,0
56,Four Points by Sheraton Manhattan SoHo Village,SoHo,385.725,0
57,Courtyard New York Manhattan/Times Square West,Clinton,329.05,0
58,The Tuscany - A St Giles Signature Hotel,Murray Hill,324.07,0
59,World Center Hotel,Financial District,314.21000000000004,0
60,Wyndham New Yorker,,229.05,0
61,The Kitano New York,Murray Hill,404.02095,0
62,Omni Berkshire Place,Midtown,1000.105,0
63,Row NYC,Midtown,229.03050000000002,0
64,The Manhattan at Times Square Hotel,Midtown,220.14,0
65,Residence Inn by Marriott New York Manhattan/Times Square,,461.205,0
66,Wellington Hotel,Midtown,295.0152,0
67,Hotel Sofitel New York,Midtown,629.69005,0
68,Hilton Garden Inn Tribeca,Tribeca,290.34,0
69,Hilton New York Fashion District,Chelsea,159.79,0
70,The Marmara Manhattan,Upper East Side,344.5372,0
71,Ameritania at Times Square,Midtown,354.05190000000005,0
72,Stewart Hotel,,291.5,0
73,Crowne Plaza Times Square Manhattan,Midtown,351.14,0
74,The Gotham Hotel,Midtown,450.0,0
75,TRYP By Wyndham Times Square South,Clinton,334.105,0
76,Novotel New York - Times Square,Midtown,188.9248,0
77,Amsterdam Court Hotel,Midtown,299.5,0
78,La Quinta Inn & Suites New York City Central Park,Upper West Side,184.22,0
79,"Marriott Vacation Club Pulse, New York City",,314.54,0
80,Andaz 5th Avenue - a concept by Hyatt,Murray Hill,595.03,0
81,Night Hotel Times Square,Midtown,309.0,0
82,Hilton Garden Inn New York/Manhattan-Chelsea,Flatiron District,183.90255,0
83,Best Western Premier Herald Square,,332.66395,0
84,Holiday Inn Express - New York City Chelsea,Flatiron District,195.39,0
85,DoubleTree by Hilton Metropolitan - New York City,Midtown,179.32,0
86,Gardens NYC-an Affinia hotel,Upper East Side,300.94,0
87,The Wall Street Inn,Financial District,205.0186,0
88,Millenium Hilton,Financial District,184.45,0
89,Le Parker Meridien New York,Midtown,359.42,0
90,Holiday Inn Express New York City- Wall Street,Financial District,139.5073,0
91,Wyndham Garden Chinatown,Chinatown,275.98,0
92,Hotel Pennsylvania,,319.0,0
93,The Evelyn Hotel,Flatiron District,249.0377,0
94,Millennium Broadway New York Times Square,Midtown,314.048,0
95,Hampton Inn New York - 35th Street - Empire State Building,,319.33,0
96,The James New York,SoHo,445.0,0
97,Cassa Hotel 45th Street,Midtown,750.3666000000001,0
98,"Club Quarters Hotel, Grand Central",,229.41000000000003,0
99,The Jewel facing Rockefeller Center,Midtown,329.0,0
100,Hotel Edison,Midtown,644.0,0
101,The Lombardy,Midtown,359.33,0
102,Dream Midtown,Midtown,494.135,0
103,Comfort Inn Times Square South Area,Clinton,259.44,0
104,Courtyard by Marriott New York Manhattan/SoHo,SoHo,384.015,0
105,Loews Regency New York Hotel,Upper East Side,739.4,0
106,Holiday Inn Manhattan 6th Ave - Chelsea,Chelsea,185.85,0
107,Holiday Inn Express New York City Fifth Avenue,Midtown,304.03000000000003,0
108,Holiday Inn Express Manhattan Times Square South,,252.07999999999998,0
109,Hilton Garden Inn Times Square,Midtown,353.79269999999997,0
110,Sheraton New York Times Square Hotel,Midtown,563.82,0
111,Residence Inn by Marriott New York Manhattan/Midtown East,,339.575,0
112,Lotte New York Palace,Midtown,772.4100000000001,0
113,"Club Quarters Hotel, opposite Rockefeller Center",Midtown,304.095,0
114,Dream Downtown,Chelsea,2649.8550499999997,0
115,Grand Hyatt New York,Murray Hill,752.33,0
116,"The Lexington New York City, Autograph Collection",,159.5316,0
117,Waldorf Astoria New York,Midtown,245.39999999999998,0
118,Trump Soho New York,SoHo,1125.31995,0
119,The Roger,Flatiron District,389.71999999999997,0
120,SpringHill Suites by Marriott New York Midtown Manhattan,,332.015,0
121,Hampton Inn Manhattan/United Nations,,254.475,0
122,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,Chelsea,434.025,0
123,Hilton Times Square,,349.445,0
124,Fairfield Inn by Marriott New York Manhattan/Times Square,Clinton,328.025,0
125,Courtyard by Marriott New York Manhattan/Herald Square,,324.04,0
126,Bentley Hotel,Upper East Side,369.4,0
127,Courtyard by Marriott New York City Manhattan Fifth Avenue,Murray Hill,286.52,0
128,The Shoreham Hotel,Midtown,227.47000000000003,0
129,Soho Garden Hotel,Tribeca,230.58085,0
130,Hampton Inn New York Chelsea,Chelsea,364.05555,0
131,Candlewood Suites New York City-Times Square,Clinton,278.15,0
132,Wingate by Wyndham Manhattan Midtown,,283.39,0
133,United Nations Apartment Hotel,,399.5,0
134,ONE UN New York,,624.695,0
135,Hampton Inn Manhattan/Downtown-Financial District,Financial District,323.705,0
136,Holiday Inn New York City - Wall Street,Financial District,186.50934999999998,0
137,Pod 51,,212.91000000000003,0
138,Washington Jefferson Hotel,,269.46,0
139,The Time New York,Midtown,229.45,0
140,Belnord Hotel,Upper West Side,150.5278,0
141,Courtyard by Marriott New York Manhattan / Chelsea,Flatiron District,259.01,0
142,The Moderne,Midtown,344.02,0
143,The Belvedere Hotel,Clinton,436.33039999999994,0
144,Gansevoort Park Avenue NYC,Flatiron District,492.70000000000005,0
145,Holiday Inn Express New York City Times Square,Clinton,277.0147,0
146,West Side YMCA,Upper West Side,142.0,0
147,The Gregory,,281.85,0
148,Park South Hotel,Flatiron District,358.70175,0
149,The Kimpton Muse Hotel,Midtown,428.96000000000004,0
150,Dylan Hotel NYC,Murray Hill,364.275,0
151,W New York - Downtown,Financial District,284.32,0
152,Hotel 48LEX New York,,939.22,0
153,Comfort Inn Midtown West,Clinton,239.24,0
154,Hotel Henri by Wyndham,Flatiron District,296.14095,0
155,Hotel Elysee by Library Hotel Collection,Midtown,519.37,0
156,W New York,Midtown,276.8,0
157,Duane Street Hotel Tribeca,Tribeca,454.15,0
158,Casablanca Hotel by Library Hotel Collection,Midtown,335.49115,0
159,Americana Inn,,116.95,0
160,Warwick New York,Midtown,304.045,0
161,Kimpton Ink48 Hotel,Clinton,539.65,0
162,Hampton Inn Manhattan/Times Square South,Clinton,264.055,0
163,"Carlton Hotel, Autograph Collection",Flatiron District,259.38,0
164,Salisbury Hotel,Midtown,405.5,0
165,"GEM Hotel - Chelsea, an Ascend Hotel Collection Member",Chelsea,289.0,0
166,The Marcel at Gramercy,Gramercy,414.13,0
167,Hilton Garden Inn New York/West 35th Street,,356.1521,0
168,Iberostar 70 Park Avenue,Murray Hill,576.39865,0
169,Hyatt Herald Square New York,,374.39,0
170,"Club Quarters Hotel, Wall Street",Financial District,329.10825,0
171,Washington Square Hotel,Greenwich Village,301.64725,0
172,Renaissance New York Hotel 57,Midtown,354.37,0
173,36 Hudson Hotel,Clinton,144.30485,0
174,"The Algonquin Hotel Times Square, Autograph Collection",Midtown,414.35,0
175,The Library Hotel by Library Hotel Collection,Murray Hill,469.05395,0
176,Holiday Inn Express New York - Manhattan West Side,Clinton,280.69,0
177,Hotel 31,Flatiron District,169.56,0
178,Hotel Belleclaire,Upper West Side,360.725,0
179,City Club Hotel,Midtown,239.44,0
180,Vanderbilt YMCA,,174.6436,0
181,The Manhattan Club,Midtown,404.73,0
182,The Benjamin,,401.305,0
183,"Club Quarters Hotel, World Trade Center",Financial District,289.97,0
184,Fitzpatrick Manhattan Hotel,Midtown,289.99,0
185,JW Marriott Essex House New York,,906.52,0
186,The London NYC,Midtown,1439.11995,0
187,NH New York Jolly Madison Towers,Murray Hill,381.54470000000003,0
188,The Milburn Hotel,Upper West Side,209.32999999999998,0
189,"The Pierre, A Taj Hotel, New York",Upper East Side,782.46,0
190,Fitzpatrick Grand Central,,228.93,0
191,New York Inn,Midtown,118.0477,0
192,The Bryant Park Hotel,,510.07875,0
193,Conrad New York,Battery Park,365.0723,0
194,The SunBright,Chinatown,168.0,0
195,Bowery Grand Hotel,Lower East Side,46.51,0
196,Royalton Times Square,Midtown,284.0425,0
197,Broadway Plaza Hotel,Flatiron District,259.4,0
198,Off Soho Suites Hotel,Lower East Side,259.16,0
199,Hotel 17,Gramercy,142.165,0
200,Hotel Mela Times Square,Midtown,219.17000000000002,0
201,The Court - A St Giles Hotel,Murray Hill,249.03245,0
202,The Jane Hotel,West Village,198.83895,0
203,The Roger Smith Hotel,Midtown,264.36,0
204,Hampton Inn Madison Square Garden Area Hotel,,291.17,0
205,Hotel Newton,Upper West Side,184.085,0
206,Hotel Chandler,Flatiron District,394.1,0
207,Mayfair New York,Midtown,169.17000000000002,0
208,Hotel Wales,,339.5,0
209,Courtyard by Marriott New York City Manhattan Midtown East,,339.42,0
210,The Sohotel,Lower East Side,338.4,0
211,Hilton Manhattan East,,409.08500000000004,0
212,Hotel On Rivington,Lower East Side,348.68,0
213,Comfort Inn Times Square West,Clinton,219.1803,0
214,Days Hotel Broadway,Upper West Side,206.916,0
215,The Hotel 91,Lower East Side,191.95999999999998,0
216,Skyline Hotel,Clinton,353.86185,0
217,Best Western Bowery Hanbee Hotel,Little Italy,256.21000000000004,0
218,Courtyard by Marriott New York Manhattan/Times Square,,340.53499999999997,0
219,New York Marriott Downtown,Financial District,406.52,0
220,Gatsby Hotel – an Ascend Hotel Collection Member,Lower East Side,224.48,0
221,The Michelangelo Hotel,Midtown,504.34000000000003,0
222,Eurostars Wall Street,Financial District,245.18,0
223,Fifty NYC-an Affinia hotel,,349.29499999999996,0
224,Courtyard by Marriott New York Manhattan/Upper East Side,Upper East Side,269.0397,0
225,"The Carlyle, A Rosewood Hotel",Upper East Side,2415.035,0
226,Magnuson Convention Center Hotel,Clinton,235.35,0
227,Hotel Metro,,414.3,0
228,Four Points by Sheraton Manhattan - Chelsea,Chelsea,606.925,0
229,Wyndham Midtown 45 at New York City,,246.20999999999998,0
230,Avalon Hotel,Flatiron District,356.83000000000004,0
231,Clarion Hotel Park Avenue,Flatiron District,224.01524999999998,0
232,San Carlos Hotel,,349.58500000000004,0
233,Gramercy Park Hotel,Flatiron District,429.0,0
234,"Gild Hall, A Thompson Hotel",Financial District,483.58439999999996,0
235,W New York - Union Square,Flatiron District,561.8507999999999,0
236,The Surrey,Upper East Side,1270.245,0
237,Hotel 309,West Village,129.115,0
238,Fairfield Inn & Suites by Marriott New York ManhattanChelsea,Flatiron District,222.9257,0
239,Aloft Harlem,Harlem,241.5737,0
240,Hotel 373 Fifth Avenue,Murray Hill,249.01299999999998,0
241,Morgans,Murray Hill,343.57,0
242,Hotel Giraffe by Library Hotel Collection,Flatiron District,391.75115000000005,0
243,Radisson Martinique on Broadway,,347.565,0
244,Hotel Plaza Athenee,Upper East Side,873.8699999999999,0
245,The Lowell,Upper East Side,1440.46,0
246,Econo Lodge Times Square,Clinton,224.03000000000003,0
247,Seaport Inn,Financial District,319.92,0
248,Hampton Inn Manhattan-Seaport-Financial District,Financial District,160.98770000000002,0
249,Manhattan Broadway Budget Hotel,,217.395,0
250,the Quin,Midtown,569.5873,0
251,Holiday Inn NYC - Lower East Side,Lower East Side,213.83,0
252,New World Hotel,Chinatown,67.52,0
253,Blue Moon Boutique Hotel,Lower East Side,125.0796,0
254,Windsor Hotel,Lower East Side,203.97955000000002,0
255,New York Marriott East Side,,298.85,0
256,"Smyth, A Thompson Hotel",Tribeca,547.73,0
257,Comfort Inn Manhattan Bridge,Chinatown,204.01690000000002,0
258,The Peninsula New York,Midtown,1970.215,0
259,Best Western Plus Hospitality House,,690.5963,0
260,Hotel Boutique at Grand Central,,368.85720000000003,0
261,"Night Hotel Theater District, Times Square",Midtown,669.07,0
262,Renaissance New York Times Square Hotel,Midtown,684.19,0
263,The Plaza Hotel,Midtown,1975.16495,0
264,"Club Quarters Hotel, Midtown",Midtown,314.23,0
265,Cosmopolitan Hotel - Tribeca,Tribeca,439.0642,0
266,"The Ritz-Carlton New York, Battery Park",Battery Park,1030.3,0
267,Fairfield Inn & Suites New York Manhattan/Downtown East,Lower East Side,263.175,0
268,RIFF Chelsea,Chelsea,231.22000000000003,0
269,Carvi Hotel New York,,114.44,0
270,Seton Hotel,Murray Hill,384.24,0
271,The Sherry Netherland,Upper East Side,849.31495,0
272,The MAve nyc,Flatiron District,404.57,0
273,Hilton Club New York,Midtown,369.53999999999996,0
274,Harlem Bed and Breakfast,Harlem,180.0,0
275,"The Chatwal, a Luxury Collection Hotel, New York City",Midtown,2050.89495,0
276,Room Mate Grace Boutique Hotel,Midtown,351.54,0
277,Four Seasons Hotel New York,Midtown,4060.709,0
278,Carlton Arms Hotel,Gramercy,120.99,0
279,"The Solita Soho Hotel, an Ascend Hotel Collection Member",Little Italy,264.02,0
